name;nodes
Democratico di Sinistra-01;MOLE' Enrico,VERONI Dante,MASTINO Pietro,BONTEMPELLI Massimo,CERMENATI Giacomo Attilio,DEL SECOLO Floriano,LUSSU Emilio,OGGIANO Luigi,PONTREMOLI Ezio,ROCCO Luigi,SAPORI Armando,SINFORIANI Italo
Comunista-01;SCOCCIMARRO Mauro,FERRARI Giacomo,MINIO Enrico,PASTORE Ottavio,COLOMBI Arturo Raffaello,GRIECO Ruggero,MAFFI Fabrizio,MOLINELLI Guido,PALERMO Mario,SERENI Emilio,TERRACINI Umberto,ALBERGANTI Giuseppe,ALLEGATO Luigi,ALUNNI PIERUCCI Francesco,BANFI Antonio,BARDINI Vittorio,BARONTINI Ilio,BEI Adele,BIBOLOTTI Aladino,BITOSSI Renato,BOCCASSI Carlo,BOLOGNESI Severino,BONTEMPELLI Massimo,BOSI Ilio,CAPPELLINI Egisto,CASSITTA Antonio,CERRUTI Carlo,COLLA Luigi,D'ONOFRIO Edoardo,FANTUZZI Silvio,FARINA Giovanni,FEDELI Armando,FIORE Umberto,FLECCHIA Vittorio,FORTUNATI Paolo,GAVINA Cesare,GERVASI Galliano,GHIDETTI Vittorio,GRAMEGNA Giuseppe,LAZZARINO Ermanno,LEONE Francesco,LI CAUSI Girolamo,MASSINI Cesare,MEACCI Gino,MENOTTI Clarenzo,MONTAGNANA Rita,MONTAGNANI MARELLI Piero,MOSCATELLI Vincenzo,MUSOLINO Eugenio,NEGARVILLE Celeste Carlo,NEGRO Antonio,PELLEGRINI Giacomo,PLATONE Felice,PROLI Giuseppe,PUCCI Alberto Mario,PUTINATI Otello,RAVA' Autunno,RAVAGNAN Riccardo,REALE Eugenio,RISTORI Pietro,ROLFI Federico,ROSSI Giuseppe,ROVEDA Giovanni,RUGGERI Luigi,SALVAGIANI Rodolfo,SECCHIA Pietro,SESSA Cesare,SPANO Velio,SPEZZANO Francesco,TALARICO Alberigo Oreste,TROIANO Ernesto,VOCCOLI Odoardo
Democratico Cristiano-01;CINGOLANI Mario,DE LUCA Carlo,MERLIN Umberto,BATTISTA Emilio,UBERTI Giovanni,ZELIOLI LANZINI Ennio,GENCO Giacinto,MAGLIANO Giuseppe,RICCIO Mario,VACCARO Nicola,BERTONE Giovanni Battista,BO Giorgio,BOSCO Giacinto,BOSCO LUCARELLI Giambattista,BRACCESI Giorgio,BRASCHI Giovanni,CANALETTI GAUDENTI Alberto,CESCHI Stanislao,FANTONI Luciano,GIARDINA Camillo,GRAVA Carlo,JACINI Stefano,LAMBERTI Giovanni,MARCONCINI Federico,MICHELI Giuseppe,SPALLINO Lorenzo,TAFURI GIOVAN BERNARDINO,TESSITORI Tiziano,TOSATTI Quinto,TRAINA Giuseppe,ZIINO Vinicio,ZOLI Adone,ZOTTA Mario,ALBERTI Antonio,ALDISIO Salvatore,ANGELINI Cesare,ANGELINI Nicola,AZARA Antonio,BARACCO Leopoldo,BAREGGI Antonio,BASTIANETTO Celeste,BELLORA Pietro,BENEDETTI Luigi,BERTINI Giovanni,BERTONE Giovanni Battista,BISORI Guido,BO Giorgio,BOGGIANO PICO Antonio,BORROMEO Luigi,BOSCO Giacinto,BOSCO LUCARELLI Giambattista,BRACCESI Giorgio,BRAITENBERG Carlo,BRASCHI Giovanni,BRUNA Settimio,BUBBIO Teodoro,BUIZZA Angelo,CANALETTI GAUDENTI Alberto,CAPORALI Raffaele,CAPPA Paolo,CARBONARI Luigi,CARBONI Enrico,CARELLI Mario,CARISTIA Carmelo,CARON Giuseppe,CARRARA Giovanni,CASARDI Ferdinando,CASO Giovanni,CEMMI Angelo,CERICA Angelo,CERULLI IRELLI Giuseppe,CESCHI Stanislao,CIAMPITTI Giovanni,CIASCA Raffaele,CICCOLUNGO Nicola,CONCI Enrico,CORBELLINI Guido,CORNAGGIA MEDICI Giovanni Maria,D'INCA' Agostino,DAMAGGIO Giuseppe,DE BOSIO Francesco,DE GASPERIS Giovanni,DE LUZENBERGER Raul,DE PIETRO Michele,DI ROCCO Angelo,DONATI Albino,ELIA Raffaele,FALCK Enrico,FANTONI Luciano,FARIOLI Domenico,FERRABINO Aldo,FOCACCIA Basilio,GALLETTO Bortolo,GAVA Silvio,GELMETTI Umberto,GERINI Alessandro,GIARDINA Camillo,GORTANI Michele,GRAVA Carlo,GUARIENTI Ugo,GUGLIELMONE Teresio,ITALIA Salvatore,JACINI Stefano,JANNUZZI Onofrio,LAMBERTI Giovanni,LANZARA Goffredo,LAVIA Giuseppe,LAZZARO Federico,LEPORE Antonio,LODATO Ignazio,LONGONI Mario,LORENZI Angelo,LOVERA Felice,MAGLI Arcangelo,MAGRI' Domenico,MARCHINI CAMIA Francesco,MARTINI Ferdinando,MEDICI Giuseppe,MENGHI Vincenzo,MENTASTI Piero,MICELI PICARDI Francesco,MINOJA Vittorio,MONALDI Vincenzo,MOTT Angelo Giacomo,ORIGLIA Edoardo,OTTANI Raffaele,PAGE Ernesto,PALLASTRELLI Giovanni,PANETTI Modesto,PASQUINI Benedetto,PAZZAGLI Raffaello,PENNISI DI FLORISTELLA Agostino,PERINI Carlo,PEZZINI Cristoforo,PIETRA Gaetano,PISCITELLI Clemente,QUAGLIARIELLO Gaetano,RAFFEINER Giuseppe,RANALDI Arnaldo,RESTAGNO Pier Carlo,RICCI Mose',ROMANO Antonio,ROMANO Domenico,ROSATI Mariano,RUBINACCI Leopoldo,RUSSO Luigi,SACCO Italo Mario,SAGGIORO Romolo,SALOMONE Rocco,SALVI Emilio,SAMEK LODOVICI Emanuele,SANMARTINO Salvatore,SANTERO Natale,SARTORI Giovanni,SCHIAVONE Domenico,SILVESTRINI Luigi,SPALLINO Lorenzo,TAFURI GIOVAN BERNARDINO,TARTUFOLI Amor,TESSITORI Tiziano,TOME' Zefferino,TOMMASINI Raffaele,TOSELLI Antonio,TRAINA Giuseppe,TUPINI Umberto,TURCO Alessandro,VALMARANA Giustino,VANONI Ezio,VARALDO Franco,VARRIALE Giuseppe,VIGIANI Maurizio,VISCHIA Carlo,ZANE Francesco,ZIINO Vinicio,ZOLI Adone,ZOTTA Mario,ZUGARO DE MATTEIS Giuseppe
Liberale-01;CASATI Alessandro,SANNA RANDACCIO Raffaele,ANGIOLILLO Renato,CAMINITI Filippo,CROCE Benedetto,DELLA SETA Ugo,FAZIO Egidio,FUSCO Giuseppe,JANNACCONE Pasquale,LUCIFERO Roberto,RUBILLI Alfonso,TRIPEPI Domenico,VENDITTI Mario,ZANOTTI BIANCO Umberto
Partito Socialista Italiano-01;PERTINI Sandro,COSATTINI Giovanni,GIUA Michele,GRISOLIA Domenico,FABBRI Luigi,GIACOMETTI Guido,GIUA Michele,MANCINI Pietro,RIZZO Domenico,ADINOLFI Pietro,ALBERTI Giuseppe,BARBARESCHI Gaetano,BERLINGUER Mario,BUFFONI Francesco,CALDERA Carlo,CASADEI Giuseppe,CASTAGNO Luigi,CAVALLERA Giuseppe,CERMIGNANI Armando,CORTESE Giuseppe,FERRAGNI Gaetano,JANNELLI Gabriele,LANZETTA Michele,LOCATELLI Amilcare,LOPARDI Emidio,LUISETTI Virgilio Mario,LUSSU Emilio,MANCINELLI Carmine,MANTICA Antonio,MARANI Pietro,MARIANI Francesco,MARIOTTI Attilio,MERLIN Angelina,MILILLO Vincenzo,MOLE' Salvatore,MORANDI Rodolfo,NOBILI Tito Oro,PALUMBO Giuseppina,PICCHIOTTI Giacomo,PRIOLO Antonio,ROMITA Giuseppe,TAMBARIN Antonio,TAMBURRANO Luigi,TIGNINO Rocco Salvatore,TONELLO Tommaso,TORELLI Pietro,ZANNERINI Emilio,ZANUCCOLI Arnaldo
Repubblicano-01;CONTI Giovanni,MACRELLI Cino,BOERI Giovanni Battista,BERGMANN Giulio,MALINTOPPI Enrico,RAJA Giovan Battista,DELLA SETA Ugo,FACCHINETTI Cipriano,MACRELLI Cino,PARRI Ferruccio,RICCI Federico,SFORZA Carlo,SPALLICCI Aldo
Partito Socialista Democratico Italiano-01;BOCCONI Alessandro,D'ARAGONA Ludovico,MONTEMARTINI Gabriele Luigi,ANFOSSI Giovanni Secondo,COSATTINI Giovanni,PERSICO Giovanni,ARMATO Arturo,DI GIOVANNI Eduardo,MOMIGLIANO Riccardo,ASQUINI Giuseppe,BELTRAND Spartaco,BOCCONI Alessandro,CANEPA Giuseppe,CANEVARI Emilio,CARMAGNOLA Luigi,D'ARAGONA Ludovico,FILIPPINI Giuseppe,GHIDINI Gustavo,GONZALES Enrico,LUISETTI Virgilio Mario,MAZZONI Nino,PIEMONTE Giuseppe,PIERACCINI Gaetano,ROCCO Luigi,ROMITA Giuseppe,TISSI Attilio,TONELLO Tommaso,ZANARDI Francesco,ZERBOGLIO Adolfo
Misto-01;DE NICOLA Enrico,NITTI Francesco Saverio,BERGAMINI Alberto,GASPAROTTO Luigi,FRANZA Enea,ABBIATE Mario,BENCIVENGA Roberto,BENEDETTI Tullio,BONOMI Ivanoe,BRAITENBERG Carlo,BUONOCORE Giuseppe,CADORNA Raffaele,CANONICA Pietro,CARMAGNOLA Luigi,CASTELNUOVO Guido,COFFARI Iginio,CONTI Giovanni,COSATTINI Giovanni,DE NICOLA Enrico,DE SANCTIS Gaetano,DELLA SETA Ugo,FAZIO Egidio,FRASSATI Alfredo,JANNACCONE Pasquale,LABRIOLA Arturo,LANZA Fabrizio,LANZA FILINGERI Stefano,LUCIFERO Roberto,LUISETTI Virgilio Mario,MAZZONI Nino,MERZAGORA Cesare,NACUCCHI Nicola,ORLANDO Vittorio Emanuele,PARATORE Giuseppe,PEZZULLO Raffaele,PIERACCINI Gaetano,PORZIO Giovanni,RAFFEINER Giuseppe,REALE Vito,RICCI Federico,RIZZO Giambattista,ROCCO Luigi,ROMITA Giuseppe,RONCO Nino,ROSATI Mariano,RUINI Meuccio,SANTONASTASO Giuseppe,STURZO Luigi,TERMINI Francesco,TOMASI DELLA TORRETTA Pietro,TONELLO Tommaso,TRIPEPI Domenico,ZANARDI Francesco
Democratico Indipendenti di Sinistra-02;MOLE' Enrico,CERABONA Francesco,NASI Virgilio,ANGRISANI Luigi,GRAMMATICO Pietro,LEONE Leo,RUSSO Salvatore,SAGGIO Raffaele,SMITH Tomaso,SPAGNA Alessandro
Libero - Social - Repubblicano-02;ZANOTTI BIANCO Umberto,CANEVARI Emilio,SCHIAVI Alessandro,AMADEO Ezio,BATTAGLIA Edoardo,CARMAGNOLA Luigi,DARDANELLI Giuseppe,EINAUDI Luigi,GRANZOTTO BASSO Luciano,PANNULLO Antonio,PERRIER Stefano,SPALLICCI Aldo,STAGNO Carlo
